epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,64.4812,1.03881,0.85865,0.91842,0.92853,0.99752,0.99119,0.74129,0.98878,0.67682,0.90566,0.000406,0.000406,0.000406
62,65.5466,1.02119,0.93118,0.94163,0.94506,0.96364,0.98714,0.75074,0.97089,0.66832,0.91892,0.0003961,0.0003961,0.0003961
63,66.5758,0.98798,0.85813,0.93048,0.94506,0.96364,0.98714,0.75074,0.97089,0.66832,0.91892,0.0003862,0.0003862,0.0003862
64,67.61,1.06825,0.86697,0.97395,0.95066,0.95863,0.98714,0.75486,0.97814,0.67493,0.92556,0.0003763,0.0003763,0.0003763
65,68.6252,1.05996,0.90005,0.92814,0.93253,0.96565,0.98714,0.72981,1.00501,0.66615,0.92136,0.0003664,0.0003664,0.0003664
66,69.6572,1.02321,0.85091,0.93317,0.90502,1,0.98714,0.70651,1.05718,0.69907,0.91107,0.0003565,0.0003565,0.0003565
67,70.6846,1.11044,0.91911,0.9856,0.90502,1,0.98714,0.70651,1.05718,0.69907,0.91107,0.0003466,0.0003466,0.0003466
68,71.7234,1.13264,0.90112,1.00463,0.93235,0.96048,0.9831,0.70639,1.03936,0.74414,0.90737,0.0003367,0.0003367,0.0003367
69,72.7458,1.01071,0.88647,0.9433,0.91038,1,0.9831,0.71285,0.98763,0.74135,0.9037,0.0003268,0.0003268,0.0003268
70,73.7803,1.09727,0.90848,0.96366,0.91454,1,0.9831,0.72427,0.96156,0.71852,0.90332,0.0003169,0.0003169,0.0003169
71,74.7985,1.0304,0.83767,0.93863,0.91454,1,0.9831,0.72427,0.96156,0.71852,0.90332,0.000307,0.000307,0.000307
72,75.8641,1.04618,0.82066,0.95138,0.92392,1,0.9831,0.71906,0.96154,0.67879,0.90369,0.0002971,0.0002971,0.0002971
73,76.8959,0.98077,0.81724,0.92019,0.93573,1,0.9831,0.70798,0.98699,0.64389,0.90652,0.0002872,0.0002872,0.0002872
74,77.9071,0.99017,0.88574,0.94467,0.93753,1,0.9831,0.69842,1.01779,0.62522,0.90944,0.0002773,0.0002773,0.0002773
75,78.9348,1.01323,0.86138,0.9214,0.93753,1,0.9831,0.69842,1.01779,0.62522,0.90944,0.0002674,0.0002674,0.0002674
76,80.082,1.05231,0.86877,0.94174,0.93896,1,0.97929,0.69469,1.01938,0.61858,0.90762,0.0002575,0.0002575,0.0002575
77,81.1221,1.07701,0.91689,0.95637,0.93327,1,0.97524,0.70122,0.99438,0.6284,0.89963,0.0002476,0.0002476,0.0002476
78,82.1441,1.01895,0.84126,0.90789,0.93512,1,0.97524,0.72237,0.96711,0.64195,0.89377,0.0002377,0.0002377,0.0002377
79,83.1645,1.02855,0.81098,0.91414,0.93512,1,0.97524,0.72237,0.96711,0.64195,0.89377,0.0002278,0.0002278,0.0002278
80,84.2245,1.01669,0.7998,0.92941,0.94742,1,0.97131,0.72996,0.94097,0.64076,0.88927,0.0002179,0.0002179,0.0002179
81,85.2535,1.00863,0.81766,0.93895,0.95216,0.9929,0.97524,0.72731,0.94256,0.63701,0.8936,0.000208,0.000208,0.000208
82,86.293,0.96556,0.82772,0.92511,0.95552,0.99449,0.97131,0.72334,0.95882,0.63437,0.89655,0.0001981,0.0001981,0.0001981
