epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,272.752,1.25216,1.40908,1.01628,1,0.39413,0.82355,0.53041,1.25207,2.45238,1.05543,0.000813,0.000813,0.000813
19,287.904,1.26013,1.43227,0.99665,1,0.39413,0.82355,0.53041,1.25207,2.45238,1.05543,0.000802,0.000802,0.000802
20,304.059,1.20093,1.40252,1.0042,0.9025,0.76858,0.93,0.67226,1.15173,1.80692,1.00899,0.000791,0.000791,0.000791
21,319.026,1.21258,1.44901,1.03923,0.86877,0.70552,0.86947,0.56308,1.30034,2.01511,1.03882,0.00078,0.00078,0.00078
22,334.258,1.22358,1.25074,1.01627,0.91884,0.74169,0.86351,0.54956,1.29161,1.9468,1.00943,0.000769,0.000769,0.000769
23,351.165,1.28559,1.31324,0.99833,0.91884,0.74169,0.86351,0.54956,1.29161,1.9468,1.00943,0.000758,0.000758,0.000758
24,367.869,1.16711,1.32587,1.03203,0.8954,0.89946,0.94194,0.64991,1.13221,1.51833,0.97607,0.000747,0.000747,0.000747
25,384.533,1.16904,1.25481,1.00356,0.8931,0.92356,0.96048,0.68771,1.0187,1.43972,0.94662,0.000736,0.000736,0.000736
26,401.292,1.20444,1.17002,0.97647,0.89651,0.95238,0.96321,0.66119,1.11501,1.48522,0.96485,0.000725,0.000725,0.000725
27,418.033,1.21009,1.15599,0.96623,0.89651,0.95238,0.96321,0.66119,1.11501,1.48522,0.96485,0.000714,0.000714,0.000714
28,436.245,1.11879,1.17114,0.98445,0.91747,0.91292,0.95762,0.64042,1.20511,1.68916,0.97293,0.000703,0.000703,0.000703
29,453.495,1.14859,1.11922,0.99756,0.91829,0.88345,0.96839,0.66232,1.18573,1.62744,0.94235,0.000692,0.000692,0.000692
30,470.178,1.1354,1.15293,1.00365,0.91487,0.99232,0.97524,0.65859,1.15636,1.35677,0.92203,0.000681,0.000681,0.000681
31,487.831,1.16232,1.12973,0.9741,0.91487,0.99232,0.97524,0.65859,1.15636,1.35677,0.92203,0.00067,0.00067,0.00067
32,505.675,1.15736,1.09084,0.96612,0.86049,0.97324,0.97524,0.67411,1.14279,1.20633,0.92274,0.000659,0.000659,0.000659
33,523.547,1.10824,1.01464,0.96621,0.93294,0.99674,0.9831,0.7064,1.06086,1.04111,0.92134,0.000648,0.000648,0.000648
34,540.26,1.15062,1.03778,0.96248,0.9431,0.96631,0.9741,0.6961,1.10117,1.06848,0.94048,0.000637,0.000637,0.000637
35,557.749,1.07216,1.06868,0.96396,0.9431,0.96631,0.9741,0.6961,1.10117,1.06848,0.94048,0.000626,0.000626,0.000626
36,574.453,1.09833,1.03069,0.97643,0.86904,0.95109,0.95373,0.64145,1.15779,1.23711,0.95052,0.000615,0.000615,0.000615
37,589.324,1.14657,1.03245,0.96325,0.93036,0.96001,0.98419,0.70176,1.08475,1.27208,0.92312,0.000604,0.000604,0.000604
38,604.738,1.11338,1.05865,0.96912,0.88202,0.9965,0.99119,0.71515,1.02067,1.15924,0.90045,0.000593,0.000593,0.000593
39,619.978,1.14473,1.07193,0.99117,0.88202,0.9965,0.99119,0.71515,1.02067,1.15924,0.90045,0.000582,0.000582,0.000582
40,635.705,1.05057,0.95391,0.95906,0.90063,1,0.9831,0.71049,1.05003,1.05089,0.90866,0.000571,0.000571,0.000571
41,651.046,1.14638,1.13787,1.02344,0.95063,1,0.97524,0.6806,1.09585,1.029,0.92033,0.00056,0.00056,0.00056
42,666.701,1.03626,1.02092,0.98967,0.89733,0.99075,0.97524,0.67148,1.14435,1.06687,0.92723,0.000549,0.000549,0.000549
43,682.687,1.16172,1.02465,0.95489,0.89733,0.99075,0.97524,0.67148,1.14435,1.06687,0.92723,0.000538,0.000538,0.000538
44,698.28,1.12859,0.91903,0.97508,0.89706,0.99189,0.97524,0.67507,1.111,1.06115,0.92638,0.000527,0.000527,0.000527
45,713.579,1.10812,1.03477,0.95456,0.90077,1,0.97524,0.703,1.05205,1.02856,0.92636,0.000516,0.000516,0.000516
46,729.108,1.07332,0.95691,0.98222,0.9118,1,0.97524,0.71757,1.03663,0.95086,0.91986,0.000505,0.000505,0.000505
47,744.309,1.13016,0.90897,0.92929,0.9118,1,0.97524,0.71757,1.03663,0.95086,0.91986,0.000494,0.000494,0.000494
48,759.944,1.13754,0.97265,0.96044,0.93994,1,0.97524,0.70763,1.05435,0.93487,0.91764,0.000483,0.000483,0.000483
49,775.119,1.0508,0.94364,0.94778,0.93151,1,0.97524,0.71459,1.04941,0.93806,0.91573,0.000472,0.000472,0.000472
50,790.521,1.08471,0.9608,0.94603,0.945,0.99699,0.97524,0.70092,1.08556,0.93318,0.91874,0.000461,0.000461,0.000461
51,805.986,1.10309,0.92727,1.01673,0.945,0.99699,0.97524,0.70092,1.08556,0.93318,0.91874,0.00045,0.00045,0.00045
52,821.537,1.14408,0.99091,1.00163,0.92577,0.99355,0.97929,0.70843,1.05025,0.91637,0.91187,0.000439,0.000439,0.000439
53,837.059,1.0688,0.9197,0.96646,0.91354,0.997,0.97929,0.73331,0.98711,0.89364,0.90357,0.000428,0.000428,0.000428
54,852.71,1.04811,0.93738,0.99354,0.92111,0.99611,0.9831,0.73437,0.98046,0.88878,0.90042,0.000417,0.000417,0.000417
55,867.974,1.09228,0.841,0.95124,0.92111,0.99611,0.9831,0.73437,0.98046,0.88878,0.90042,0.000406,0.000406,0.000406
56,883.245,1.18626,0.92563,1.0013,0.93912,0.99547,0.98714,0.73758,0.97958,0.90474,0.90184,0.000395,0.000395,0.000395
57,898.444,1.16278,0.97584,1.00129,0.93526,0.9916,0.99119,0.74546,0.96288,0.90815,0.90498,0.000384,0.000384,0.000384
58,914.968,1.08859,0.86971,0.95422,0.94172,0.97222,0.99119,0.74606,0.98191,0.89536,0.90953,0.000373,0.000373,0.000373
59,930.72,1.1038,0.89726,0.95936,0.94172,0.97222,0.99119,0.74606,0.98191,0.89536,0.90953,0.000362,0.000362,0.000362
60,947.915,1.11017,0.91553,0.95627,0.95861,1,0.99119,0.72548,1.00967,0.84976,0.90956,0.000351,0.000351,0.000351
61,964.117,1.04141,0.87489,0.93553,0.94955,0.99368,0.99119,0.73506,0.97265,0.82352,0.9029,0.00034,0.00034,0.00034
62,980.959,1.04271,0.86197,0.94942,0.94577,0.99252,0.99119,0.74778,0.95103,0.83004,0.90053,0.000329,0.000329,0.000329
63,996.69,1.05412,0.89603,0.97813,0.94577,0.99252,0.99119,0.74778,0.95103,0.83004,0.90053,0.000318,0.000318,0.000318
64,1012.99,1.04605,0.83762,0.96915,0.94733,1,0.99119,0.75396,0.96755,0.8526,0.89834,0.000307,0.000307,0.000307
65,1028.21,1.02226,0.82995,0.95429,0.94941,1,0.99119,0.75324,0.99059,0.84848,0.90335,0.000296,0.000296,0.000296
66,1043.47,1.05907,0.97126,0.95982,0.95753,0.99739,0.98714,0.74136,0.9983,0.80922,0.9137,0.000285,0.000285,0.000285
67,1059.39,1.04695,0.89737,0.96888,0.95753,0.99739,0.98714,0.74136,0.9983,0.80922,0.9137,0.000274,0.000274,0.000274
68,1075.57,1.05722,0.84397,0.95995,0.9592,0.99663,0.9831,0.74245,0.98452,0.79988,0.91387,0.000263,0.000263,0.000263
69,1091.77,1.1247,0.87445,0.98728,0.95485,0.99438,0.9831,0.73991,0.97314,0.81208,0.90752,0.000252,0.000252,0.000252
70,1108.09,1.10495,1.07068,0.98438,0.94619,0.99581,0.97929,0.72143,0.98268,0.82326,0.90949,0.000241,0.000241,0.000241
71,1124.13,1.05718,0.848,0.98783,0.94619,0.99581,0.97929,0.72143,0.98268,0.82326,0.90949,0.00023,0.00023,0.00023
72,1140.32,0.99262,0.87794,0.9597,0.94476,0.99551,0.97929,0.71038,0.99149,0.81875,0.90871,0.000219,0.000219,0.000219
